Фёдор Иванович Шуберт,1758,1825
"Бартельс Мартин Фёдорович",1769,1836
"Бильфингер Георг Бернгард",1693,1750
"Андерсон Оскар Николаевич",1887,1960
"Бари Нина Карловна",1901,1961
Сергей Михайлович Никольский,1905,2012
Константин Эдуардович Циолковский,1857,1935
Моисей Шейнфинкель,1889,1942
Михаил Васильевич Ломоносов,1711,1765
"Эпинус Франц Ульрих Теодор",1724,1802
Александр Маркович Островский,1893,1986
"Кон-Фоссен Стефан Эммануилович",1902,1936
"Нётер Фриц",1884,1941
Фёдор Эдуардович Молин,1861,1941
Михаил Васильевич Остроградский,1801,1862
"Юшкевич Адольф Павлович",1906,1993
Виктор Яковлевич Буняковский,1804,1889
"Яглом Акива Моисеевич",1921,2007
"Кит Борис Владимирович",1910,2018
